time,cpu,mem,diskRand,diskSeq
1668459601,3529.69,8993.77,2.39,120.17
1668461401,3677.19,10388.48,2.39,120.09
1668463201,3676.53,10315.45,2.39,120.17
1668465001,3677.02,10390.67,2.38,120.09
1668466801,3676.04,10386.75,2.40,120.17
1668468601,3678.32,10388.43,2.39,120.13
1668470401,3675.09,10297.92,2.40,120.22
1668472201,3677.13,10390.25,2.40,120.08
1668474001,3677.47,10346.47,2.39,120.05
1668475801,3678.02,10353.28,2.39,120.06
1668477601,3676.98,10391.85,2.39,120.04
1668479401,3677.56,10389.42,2.40,120.17
1668481201,3677.49,10384.58,2.39,120.12
1668483001,3676.04,10380.40,2.39,120.16
1668484801,3677.42,10384.82,2.39,120.10
1668486601,3678.59,10395.27,2.39,120.15
1668488401,3674.98,10389.51,2.39,120.12
1668490201,3676.87,10387.83,2.39,119.92
1668492001,3675.78,10385.68,2.40,120.09
1668493801,3675.08,10392.85,2.39,120.12
1668495601,3673.42,10388.41,2.39,120.23
1668497401,3677.85,10382.46,2.40,120.22
1668499201,3682.28,10386.67,2.39,120.19
1668501001,3675.55,10394.62,2.39,120.08
1668502801,3673.41,10382.63,2.39,120.14
1668504601,3673.72,10397.59,2.40,120.07
1668506401,3672.92,10382.74,2.40,120.12
1668508201,3676.72,10393.56,2.39,120.12
1668510001,3676.42,10389.61,2.39,120.11
1668511801,3677.11,10390.03,2.40,120.25
1668513601,3677.12,10384.54,2.40,120.21
1668515401,3679.22,10386.77,2.39,120.09
1668517201,3675.80,10380.77,2.39,120.12
1668519001,3675.44,10387.27,2.40,120.13
1668520801,3674.81,10383.49,2.39,120.14
1668522601,3675.65,10389.55,2.39,120.07
1668524401,3675.75,10380.82,2.40,120.13
1668526201,3675.91,10309.96,2.39,120.00
1668528001,3675.66,10376.72,2.40,120.13
1668529801,3676.99,10368.48,2.39,120.10
1668531601,3674.34,10380.96,2.39,120.19
1668533401,3676.39,10388.23,2.40,120.09
1668535201,3676.07,10378.49,2.39,119.84
1668537001,3675.63,10154.45,2.39,120.03
1668538801,3674.91,10373.54,2.39,120.09
1668540601,3674.40,10323.82,2.39,120.08
1668542401,3675.94,10127.58,2.39,120.19
1668544201,3674.06,10070.29,2.39,120.04
1668546001,3677.00,10387.79,2.39,120.14
1668547801,3677.32,10389.45,2.39,120.08
1668549601,3676.46,10130.03,2.39,120.18
1668551401,3673.97,10397.14,2.40,120.15
1668553201,3677.01,10391.52,2.40,120.21
1668555001,3674.82,10206.46,2.39,120.18
1668556801,3674.20,10389.94,2.39,120.10
1668558601,3678.61,10384.49,2.40,120.22
1668560401,3676.35,10386.49,2.39,120.24
1668562201,3676.27,10397.66,2.39,120.24
1668564001,3675.96,10389.19,2.39,120.16
1668565801,3677.51,10383.01,2.39,117.06
1668567601,3668.30,10368.55,2.39,120.17
1668569401,3678.45,10392.03,2.40,120.18
1668571201,3675.18,10386.87,2.39,120.16
1668573001,3676.72,10378.21,2.39,120.24
1668574801,3676.65,10353.95,2.40,120.22
1668576601,3677.49,10383.70,2.40,120.15
1668578401,3673.54,10390.44,2.40,120.20
1668580201,3677.46,10388.30,2.40,120.15
1668582001,3675.28,10386.17,2.39,120.22
1668583801,3676.58,10393.48,2.40,120.19
1668585601,3672.97,10396.51,2.40,120.24
1668587401,3673.12,10386.58,2.40,120.19
1668589201,3671.58,10376.11,2.40,120.22
1668591001,3677.72,10387.87,2.40,120.12
1668592801,3673.24,10386.80,2.39,119.98
1668594601,3673.22,10385.70,2.39,120.21
1668596401,3675.67,9796.06,2.39,120.05
1668598201,3674.91,10372.43,2.38,120.06
1668600001,3673.22,10365.42,2.39,120.17
1668601801,3676.01,10388.88,2.38,120.07
1668603601,3675.06,10314.17,2.39,120.09
1668605401,3674.16,10386.12,2.39,120.21
1668607201,3677.05,10374.58,2.39,120.07
1668609001,3677.90,10382.94,2.40,120.03
1668610801,3676.45,10368.98,2.40,120.09
1668612601,3677.41,10391.73,2.39,120.06
1668614401,3672.37,10384.68,2.39,120.07
1668616201,3677.97,10046.72,2.40,120.16
1668618001,3675.37,10383.58,2.39,120.10
1668619801,3679.07,10390.80,2.39,119.90
1668621601,3677.07,10393.37,2.27,119.98
1668623401,3674.94,10381.97,2.37,119.99
1668625201,3677.61,10385.76,2.36,120.05
1668627001,3675.65,10392.51,2.39,119.93
1668628801,3676.90,10384.90,2.39,120.13
1668630601,3676.67,10393.67,2.39,120.19
1668632401,3678.26,10385.80,2.40,120.19
1668634201,3675.37,10389.92,2.39,120.18
1668636001,3675.58,10380.92,2.40,120.23
1668637801,3678.97,10383.20,2.39,120.10
1668639601,3676.74,10388.69,2.40,120.22
1668641401,3678.17,10378.20,2.40,120.23
1668643201,3676.42,10395.22,2.39,120.23
1668645001,3676.55,10386.64,2.40,120.24
1668646801,3677.02,10390.31,2.40,120.19
1668648601,3674.44,10373.68,2.39,120.23
1668650401,3675.24,10390.14,2.40,120.22
1668652201,3678.17,10389.38,2.39,120.04
1668654001,3676.43,10386.46,2.40,120.19
1668655801,3677.41,10384.54,2.39,120.10
1668657601,3672.80,10383.29,2.40,120.14
1668659401,3673.71,10396.40,2.40,120.17
1668661201,3673.28,10390.54,2.39,120.17
1668663001,3676.72,10322.02,2.39,120.19
1668664801,3673.84,10267.79,2.40,120.13
1668666601,3677.50,10388.50,2.39,119.33
1668668401,3675.62,10386.51,2.39,120.10
1668670201,3677.83,10360.57,2.39,120.15
